"id_grandprix";"id_track";"days";"months";"years";"bestlap_driver_id";"betlap_lap";"bestlap_time";"weather";"notes";"qnotes";"last_modification"
11;9;7;10;2005;3;"60";"1.20.502";"Солнечно, жарко, сухо";"Тьягу Монтейру и Кими Райкконен перемещены на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой.Такума Сато заглох на формирующем круге - стартовал с пит-лейн.";;
12;10;24;7;2005;3;"24";"1.14.873";"Пасмурно, тепло, сухо";"Хуан-Пабло Монтойя перемещен на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой.Роберт Дорнбос наказан штрафом ""stop&go"" за одновременную дозаправку и замену колеса.Ярно Трулли и Нараин Картикеян наказаны штрафом ""проезд через пит-лейн"" за игнорирование синих флагов.";;
13;11;31;7;2005;3;"40";"1.21.219";"Солнечно, очень жарко, сухо";"Тьягу Монтейру перемещен на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой.";;
14;5;21;8;2005;35;"39";"1.24.770";"Солнечно, жарко, сухо";"Квалификационное время Такумы Сато аннулировано за блокирование Марка Уэббера.Нараин Картикеян, Михаэль Шумахер и Такума Сато перемещены на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой. Такума Сато стартовал с пит-лейн.";;
15;14;9;4;2005;3;"51";"1.21.504";"Солнечно, жарко, сухо";"Кими Райкконен перемещен на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой. Кристиан Алберс наказан штрафом ""проезд через пит-лейн"" за игнорирование синих флагов.";;
16;13;9;11;2005;27;"43";"1.51.453";"Пасмурно, тепло, влажно";"Джанкарло Физикелла перемещен на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой. Роберт Дорнбос и Кристиан Алберс стартовали с пит-лейн.Такума Сато наказан перемещением на 10 позиций вниз на стартовом поле в следующей гонке за инициирование столкновения с Михаэлем Шумахером.Антонио Пиццония оштрафован на 8000 долларов за инициирование столкновения с Хуаном-Пабло Монтойей";;
17;18;25;9;2005;3;"29";"1.12.268";"Облачно, тепло, сухо";"Такума Сато перемещен на 10 позиций вниз на стартовом поле за инициирование столкновения с Михаэлем Шумахером в предыдущей гонке.Ярно Трулли и Такума Сато перемещены на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой. Жак Вильнёв перемещен на 10 позиций вниз на стартовом поле за замену стабилизатора поперечной устойчивости перед гонкой. Жак Вильнёв и Тьягу Монтейру стартовали с пит-лейн..";;
18;22;10;9;2005;3;"44";"1.31.540";"Переменная облачность, тепло, сухо";"Кими Райкконен перемещен на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой.Ярно Трулли стартовал с пит-лейн.Жак Вильнёв наказан 25-секундным штрафом за инициирование вылета с трассы Хуана-Пабло Монтойи.Такума Сато дисквалифицирован за инициирование столкновения с Ярно Трулли.";;
19;17;16;10;2005;3;"56";"1.33.242";"Солнечно, тепло, сухо";"Михаэль Шумахер, Кристиан Алберс и Нараин Картикеян стартовали с пит-лейн.Такума Сато наказан штрафом ""проезд через пит-лейн"" за фальстарт. Джанкарло Физикелла наказан штрафом ""проезд через пит-лейн"" за опасный маневр на пит-лейн.Михаэль Шумахер предупрежден за инициирование столкновения с Кристианом Алберсом перед стартом формирующего круга.";;
20;3;12;3;2006;13;"42";"1.32.408";"Солнечно, тепло, сухо";"Тьягу Монтейру стартовал с пит-лейн.Юдзи Идэ наказан штрафом ""проезд через пит-лейн"" за то, что механики продолжали обслуживать автомобиль на стартовом поле менее чем за 15 секунд до старта формирующего круга. Ник Хайдфельд предупрежден за инцидент с Дэвидом Култардом.";;
21;2;19;3;2006;5;"45";"1.34.803";"Пасмурно, жарко, сухо";"Михаэль Шумахер, Фелипе Масса, Дэвид Култард, Ральф Шумахер и Рубенс Баррикелло перемещены на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой.Рубенс Баррикелло наказан штрафом ""stop&go"" за превышение скорости на пит-лейн.";;
22;1;2;4;2006;3;"57";"1.26.045";"Облачно, тепло, сухо";"Жак Вильнёв перемещен на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой.Запланировано 58 кругов, но дистанция сокращена на один круг из-за прерванного старта и дополнительного формирующего круга (Джанкарло Физикелла заглох на стартовом поле).Джанкарло Физикелла стартовал с пит-лейн. Ральф Шумахер наказан штрафом ""проезд через пит-лейн"" за превышение скорости на пит-лейн.Скотт Спид наказан 25-секундным штрафом за обгон Дэвида Култарда под желтым флагом. Такума Сато предупрежден за игнорирование синих флагов.";;
23;20;23;4;2006;5;"23";"1.24.569";"Солнечно, жарко, сухо";"Юдзи Идэ предупрежден за инициирование столкновения с Кристианом Алберсом";;
24;12;7;5;2006;31;"39";"1.32.099";"Переменная облачность, тепло, сухо";"Марк Уэббер и Нико Росберг перемещены на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой.Лучшее время Жака Вильнёва в квалификации аннулировано за блокирование Джанкарло Физикеллы.";;
25;4;14;5;2006;2;"42";"1.16.648";"Солнечно, жарко, сухо";"Жак Вильнёв перемещен на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой.";;
26;6;28;5;2006;31;"74";"1.15.143";"Солнечно, тепло, сухо";"Три лучших времени круга Джанкарло Физикеллы в квалификации аннулированы за блокирование Дэвида Култарда.Квалификационное время Михаэля Шумахера аннулировано за блокирование трассы. Михаэль Шумахер стартовал с пит-лейн. Кристиан Алберс наказан штрафом ""проезд через пит-лейн"" за инициирование столкновения с Тьягу Монтейру. Жак Вильнёв наказан штрафом ""проезд через пит-лейн"" за обгон во время нахождения автомобиля безопасности на трассе. Рубенс Баррикелло наказан штрафом ""проезд через пит-лейн"" за превышение скорости на пит-лейн.";;
27;9;11;6;2006;5;"21";"1.21.599";"Переменная облачность, жарко, сухо";"Ярно Трулли и Такума Сато перемещены на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой.";;
28;7;25;6;2006;3;"22";"1.15.841";"Солнечно, жарко, сухо";"Дэвид Култард перемещен на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой.Джанкарло Физикелла наказан штрафом ""проезд через пит-лейн"" за фальстарт.Ральф Шумахер наказан штрафом ""проезд через пит-лейн"" за превышение скорости на пит-лейн.";;
29;19;2;7;2006;31;"56";"1.12.719";"Солнечно, очень жарко, сухо";"Квалификационное время Нико Росберга аннулировано за пропуск процедуры взвешивания.Витантонио Льюцци перемещен на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой.Ярно Трулли стартовал с пит-лейн.";;
30;8;16;7;2006;31;"46";"1.17.111";"Солнечно, очень жарко, сухо";"Нико Росберг и Витантонио Льюцци перемещены на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой";;
31;10;30;7;2006;31;"17";"1.16.357";"Солнечно, очень жарко, сухо";"Кристиан Алберс и Ярно Трулли перемещены на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой.Сакон Ямамото стартовал с пит-лейн из-за смены шасси после квалификации. Ральф Шумахер наказан штрафом ""проезд через пит-лейн"" за превышение скорости на пит-лейн.Тьягу Монтейру наказан штрафом ""проезд через пит-лейн"" за игнорирование синих флагов.Кристиан Алберс и Тьягу Монтейру дисквалифицированы за нарушения в измерениях заднего антикрыла.";;
32;11;6;8;2006;2;"65";"1.23.516";"Облачно, свежо, влажно";"Кристиан Алберс и Дженсон Баттон перемещены на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой.Фернандо Алонсо наказан двумя штрафными секундами в квалификации за блокирование Роберта Дорнбоса и обгон под желтыми флагами. Михаэль Шумахер наказан двумя штрафными секундами в квалификации за два обгона под красными флагами.Лучшее время Скотта Спида в квалификации аннулировано за блокирование.Кристиан Клин стартовал с пит-лейн.Роберт Кубица дисквалифицирован за использование автомобиля легче положенного.";;
33;5;27;8;2006;31;"55";"1.28.005";"Солнечно, очень жарко, сухо";"Кристиан Алберс и Ральф Шумахер перемещены на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой.";;
34;14;10;9;2006;3;"13";"1.22.559";"Солнечно, жарко, сухо";"Три лучших времени Фернандо Алонсо в квалификации аннулированы за блокирование Фелипе Массы.Такума Сато стартовал с пит-лейн из-за смены шасси после квалификации.Ник Хайдфельд наказан штрафом ""проезд через пит-лейн"" за превышение скорости на пит-лейн.";;
35;17;1;10;2006;5;"49";"1.37.586";"Облачно, холодно, влажно";"Такума Сато и Фелипе Масса перемещены на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой.Квалификационное время Кристиана Алберса аннулировано за пропуск процедуры взвешивания. Сакон Ямамото наказан штрафом ""проезд через пит-лейн"".Кристиан Алберс наказан 25-секундным штрафом за блокирование и инициирование столкновения Рубенса Баррикелло и Ника Хайдфельда.Такума Сато предупрежден за блокирование и инициирование столкновения Рубенса Баррикелло и Ника Хайдфельда.Такума Сато дисквалифицирован за второе предупреждение в сезоне.";;
36;22;8;10;2006;5;"14";"1.32.676";"Солнечно, тепло, сухо";;;
37;18;22;10;2006;31;"70";"1.12.162";"Солнечно, тепло, сухо";"Роберт Дорнбос перемещен на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой.";;
38;1;18;3;2007;3;"41";"1.25.235";"Солнечно, тепло, сухо";"Фелипе Масса перемещен на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой.Кристиан Алберс стартовал с пит-лейн из-за смены шасси после квалификации.Дженсон Баттон наказан штрафом ""проезд через пит-лейн"" за превышение скорости на пит-лейн.Адриан Сутиль наказан штрафом ""проезд через пит-лейн"" за игнорирование синих флагов, затем штрафом ""проезд через пит-лейн"" за пересечение белой линии на выезде с пит-лейн.";;
39;2;4;8;2007;1;"22";"1.36.701";"Солнечно, очень жарко, сухо";"Рубенс Баррикелло перемещен на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой.Рубенс Баррикелло стартовал с пит-лейн.";;
40;3;15;4;2007;2;"42";"1.34.067";"Солнечно, жарко, сухо";"Витантонио Льюцци наказан штрафом ""проезд через пит-лейн"" за обгон во время нахождения автомобиля безопасности на трассе.";;
41;4;13;5;2007;2;"14";"1.22.680";"Солнечно, жарко, сухо";"Запланировано 66 кругов, но дистанция сокращена на один круг из-за прерванного старта и дополнительного формирующего круга (Ярно Трулли заглох на стартовом поле). Ярно Трулли стартовал с пит-лейн.Кристиан Алберс наказан штрафом ""проезд через пит-лейн"" за игнорирование синих флагов.";;
42;6;27;5;2007;5;"44";"1.15.284";"Переменная облачность, тепло, сухо";"За блокирование Хейкки Ковалайнена во второй сессии квалификации, Дэвиду Култарду запрещено участвовать в третьей сессии и он перемещен на две позиции вниз на стартовом поле. Энтони Дэвидсон наказан штрафом ""проезд через пит-лейн"" за игнорирование синих флагов.";;
43;7;6;10;2007;5;"46";"1.16.367";"Солнечно, жарко, сухо";"Первый результат Ника Хайдфельда во второй части квалификации аннулирован за срез шиканы.Хейкки Ковалайнен перемещен на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой. Кристиан Алберс стартовал с пит-лейн. Нико Росберг и Фернандо Алонсо наказаны штрафом ""stop&go"" за заезд на пит-лейн во время нахождения автомобиля безопасности на трассе в тот момент, когда пит-лейн была закрыта. Джанкарло Физикелла и Фелипе Масса дисквалифицированы за выезд с пит-лейн на красный свет.";;
44;19;17;6;2007;3;"49";"1.13.117";"Солнечно, очень жарко, сухо";;;
45;8;7;1;2007;2;"42";"1.16.099";"Пасмурно, тепло, сухо";"Адриан Сутиль заглох на старте формирующего круга из-за проблем с электрикой. Стартовал с пит-лейн на запасной машине.Адриан Сутиль наказан штрафом ""проезд через пит-лейн"" за превышение скорости на пит-лейн.";;
46;9;7;8;2007;3;"17";"1.20.638";"Переменная облачность, тепло, сухо";"Запланировано 60 кругов, но дистанция сокращена на один круг из-за прерванного старта и дополнительного формирующего круга (Фелипе Масса заглох на стартовом поле).Фелипе Масса и Такума Сато стартовали с пит-лейн.";;
47;12;22;7;2007;2;"34";"1.32.853";"Облачно, свежо, ливень";"Гонка остановлена после четырех кругов из-за ливня и массовых вылетов. Рестарт дан за автомобилем безопасности на оставшиеся 56 кругов, стартовое поле сформировано по текущему положению в гонке.";;
48;11;8;5;2007;3;"70";"1.20.047";"Солнечно, жарко, сухо";"Фернандо Алонсо перемещен на 5 позиций вниз на стартовом поле за блокирование Льюиса Хэмилтона в квалификации.До решения апелляционного суда команда McLaren лишена очков в зачет Кубка Конструкторов за умышленное блокирование Льюиса Хэмилтона в квалификации. Джанкарло Физикелла перемещен на 5 позиций вниз на стартовом поле за блокирование Сакона Ямамото в квалификации.";;
49;5;26;8;2007;3;"57";"1.27.295";"Солнечно, очень жарко, сухо";"Дженсон Баттон и Рубенс Баррикелло перемещены на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой.";;
50;14;9;9;2007;5;"15";"1.22.871";"Солнечно, жарко, сухо";;;
51;13;16;9;2007;2;"34";"1.48.036";"Переменная облачность, тепло, сухо";"Роберт Кубица и Джанкарло Физикелла перемещены на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой.Джанкарло Физикелла и Энтони Дэвидсон стартовали с пит-лейн.";;
52;16;30;9;2007;1;"27";"1.28.193";"Пасмурно, свежо, дождь";"Нико Росберг перемещен на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой. Старт гонки дан за автомобилем безопасности.Витантонио Льюцци стартовал с пит-лейн.Фелипе Масса наказан штрафом ""проезд через пит-лейн"" за обгон во время нахождения автомобиля безопасности на трассе. Роберт Кубица наказан штрафом ""проезд через пит-лейн"" за инициирование столкновения с Льюисом Хэмилтоном.Витантонио Льюцци наказан 25-секундным штрафом за обгон под желтыми флагами.Себастьян Феттель наказан потерей 10 позиций на стартовом поле в следующей гонке за инициирование столкновения с Марком Уэббером, но затем наказание отменено.";;
53;17;10;7;2007;2;"56";"1.37.454";"Пасмурно, жарко, влажно";"Себастьян Феттель наказан потерей 5 позиций на стартовом поле за блокирование Хейкки Ковалайнена в квалификации.";;
54;18;21;10;2007;3;"66";"1.12.445";"Солнечно, очень жарко, сухо";"Адриан Сутиль стартовал с пит-лейн. Адриан Сутиль наказан штрафом ""проезд через пит-лейн"" за инициирование столкновения с Энтони Дэвидсоном.";;
55;1;16;3;2008;7;"43";"1.27.418";"Солнечно, тепло, сухо";"Тимо Глок перемещен на 5 позиций вниз на стартовом поле за смену коробки передач перед гонкой, затем еще на 5 позиций вниз за блокирование Марка Уэббера в квалификации. Адриан Сутиль стартовал с пит-лейн на запасном шасси.Рубенс Баррикелло наказан штрафом ""stop&go"" за дозаправку до открытия пит-лейн.Рубенс Баррикелло дисквалифицирован за выезд с пит-лейн на красный свет.Кадзуки Накадзима наказан потерей 10 позиций на стартовом поле в следующей гонке за инициирование столкновения с Робертом Кубицей.";;
56;2;23;3;2008;6;"55";"1.35.366";"Переменная облачность, жарко, сухо";"Кадзуки Накадзима наказан потерей 10 позиций на стартовом поле за инициирование столкновения с Робертом Кубицей в прошлой гонке.Льюис Хэмилтон и Хейкки Ковалайнен наказаны потерей 5 позиций на стартовом поле за создание помех Фернандо Алонсо и Нику Хайдфельду во время квалификации. Рубенс Баррикелло наказан штрафом ""проезд через пит-лейн"" за превышение скорости на пит-лейн.";;
57;3;4;6;2008;7;"49";"1.33.193";"Солнечно, жарко, сухо";;;
58;4;27;4;2008;3;"46";"1.21.670";"Солнечно, тепло, сухо";"Ник Хайдфельд наказан штрафом ""stop&go"" за дозаправку до открытия пит-лейн.";;
59;5;5;11;2008;3;"20";"1.26.506";"Переменная облачность, свежо, сухо";"Джанкарло Физикелла наказан потерей 3 позиций на стартовом поле за выезд с пит-лейн на красный свет во время тренировки в пятницу.";;
60;6;25;5;2008;3;"74";"1.16.689";"Пасмурно, тепло, влажно";"Дэвид Култард, Джанкарло Физикелла и Себастьян Феттель перемещены на 5 позиций вниз на стартовом поле за смену коробки передач перед гонкой.Хейкки Ковалайнен заглох на старте формирующего круга из-за проблем с электрикой. Стартовал с пит-лейн.Кими Райкконен наказан штрафом ""проезд через пит-лейн"" за то, что за 3 минуты до старта механики не установили колеса на автомобиль";;
61;7;6;8;2008;3;"14";"1.17.387";"Переменная облачность, жарко, сухо";"Себастьян Бурдэ перемещен на 5 позиций вниз на стартовом поле за смену коробки передач перед гонкой.Себастьян Феттель стартовал с пит-лейн на запасной машине.Дженсон Баттон стартовал с пит-лейн после внеплановой настройки подвески.Льюис Хэмилтон и Нико Росберг наказаны потерей 10 позиций на стартовом поле в следующей гонке за инициирование столкновения на пит-лейн.";;
62;8;22;6;2008;3;"16";"1.16.630";"Облачно, тепло, сухо";"Льюис Хэмилтон и Нико Росберг наказаны потерей 10 позиций на стартовом поле за инициирование столкновения на пит-лейн в прошлой гонке. Хейкки Ковалайнен наказан потерей 5 позиций на стартовом поле за блокирование Марка Уэббера во время квалификации. Рубенс Баррикелло перемещен на 5 позиций вниз на стартовом поле за смену коробки передач перед гонкой. Льюис Хэмилтон наказан штрафом ""проезд через пит-лейн"" за срез шиканы при обгоне Себастьяна Феттеля.";;
63;9;7;6;2008;3;"18";"1.32.150";"Пасмурно, холодно, дождь";"Нико Росберг стартовал с пит-лейн после внеплановой настройки подвески.";;
64;10;20;7;2008;6;"52";"1.15.987";"Облачно, тепло, сухо";;;
65;11;8;3;2008;3;"61";"1.21.195";"Солнечно, жарко, сухо";"Себастьян Бурдэ наказан потерей 5 позиций на стартовом поле за блокирование Ника Хайдфельда во время квалификации.";;
66;23;24;8;2008;2;"36";"1.38.708";"Солнечно, жарко, сухо";"Рубенс Баррикелло и Адриан Сутиль стартовали с пит-лейн. Фелипе Масса предупрежден за опасный выезд с пит-лейн.";;
67;13;9;7;2008;3;"24";"1.47.930";"Облачно, холодно, ливень";"Хейкки Ковалайнен наказан штрафом ""проезд через пит-лейн"" за инициирование столкновения с Марком Уэббером.Льюис Хэмилтон наказан 25-секундным штрафом за срез шиканы при обгоне Кими Райкконена.Тимо Глок наказан 25-секундным штрафом за обгон под желтыми флагами.";;
68;14;14;9;2008;3;"53";"1.28.047";"Пасмурно, свежо, влажно";"Старт гонки дан за автомобилем безопасности. Дженсон Баттон и Кадзуки Накадзима стартовали с пит-лейн.Себастьян Бурдэ заглох на старте, стартовал с пит-лейн.";;
69;15;28;9;2008;3;"14";"1.45.599";"Искусственное освещение, жарко, сухо";"Ник Хайдфельд наказан потерей 3 позиций на стартовом поле за блокирование Рубенса Баррикелло во время квалификации. Джанкарло Физикелла стартовал с пит-лейн. Фелипе Масса наказан штрафом ""проезд через пит-лейн"" за опасный выезд с пит-лейн.Нико Росберг и Роберт Кубица наказаны штрафом ""stop&go"" за дозаправку до открытия пит-лейн.";;
70;16;10;12;2008;2;"55";"1.18.426";"Пасмурно, холодно, сухо";"Льюис Хэмилтон наказан штрафом ""проезд через пит-лейн"" за создание опасной ситуации на старте.Фелипе Масса наказан штрафом ""проезд через пит-лейн"" за инициирование столкновения с Льюисом Хэмилтоном.Субастьян Бурдэ наказан 25-секундным штрафом за инициирование столкновения с Фелипе Массой.";;
71;17;19;10;2008;1;"13";"1.36.325";"Пасмурно, холодно, сухо";"Марк Уэббер перемещен на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой.Ник Хайдфельд наказан потерей 3 позиций на стартовом поле за блокирование Дэвида Култарда во время квалификации.";;
72;18;11;2;2008;2;"36";"1.13.736";"Облачно, жарко, ливень";;;
73;1;7;3;2004;31;"29";"1.24.125";"Облачно, тепло, сухо";;;
74;2;21;3;2004;35;"28";"1.34.223";"Пасмурно, очень жарко, сухо";"Джорджо Пантано, Фернандо Алонсо и Такума Сато перемещены на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой.Джорджо Пантано стартовал с пит-лейн.Марк Уэббер и Оливье Панис наказаны штрафом ""проезд через пит-лейн"" за превышение скорости на пит-лейн.";;
75;3;4;4;2004;31;"7";"1.30.252";"Облачно, жарко, сухо";"Ник Хайдфельд, Кими Райкконен и Жолт Баумгартнер перемещены на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой.Джанмария Бруни стартовал с пит-лейн. Ральф Шумахер предупрежден за инициирование столкновения с Такумой Сато.";;
76;20;25;4;2004;31;"10";"1.20.411";"Солнечно, тепло, сухо";"Жолт Баумгартнер и Кими Райкконен перемещены на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой.Кристиано да Матта наказан штрафом ""проезд через пит-лейн"" за игнорирование синих флагов.";;
77;4;9;5;2004;31;"12";"1.17.450";"Солнечно, тепло, сухо";;;
78;6;23;5;2004;31;"23";"1.14.439";"Солнечно, тепло, сухо";"Ральф Шумахер перемещен на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой.Запланировано 78 кругов, но дистанция сокращена на один круг из-за прерванного старта и дополнительного формирующего круга (Оливье Панис заглох на стартовом поле).Оливье Панис стартовал с пит-лейн.Кристиано да Матта наказан штрафом ""проезд через пит-лейн"" за игнорирование синих флагов.";;
79;12;30;5;2004;31;"7";"1.29.468";"Переменная облачность, тепло, сухо";"Джанкарло Физикелла, Джанмария Бруни и Жолт Баумгартнер перемещены на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой.Марк Уэббер наказан штрафной секундой на квалификации за игнорирование желтых флагов. Квалификационное время Джанмарии Бруни аннулировано за выезд с пит-лейн на красный свет.Джорджо Пантано наказан штрафом ""проезд через пит-лейн"" за превышение скорости на пит-лейн.";;
80;7;13;6;2004;14;"68";"1.13.622";"Солнечно, тепло, сухо";"Жолт Баумгартнер и Джанмария Бруни перемещены на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой.Джанмария Бруни и Такума Сато стартовали с пит-лейн.Кими Райкконен наказан штрафом ""проезд через пит-лейн"" за пересечение белой линии на выезде с пит-лейн.Джанмария Бруни наказан штрафом ""проезд через пит-лейн"" за превышение скорости на пит-лейн.Оба гонщика команд Williams (Хуан-Пабло Монтойя и Ральф Шумахер) и Toyota (Кристиано да Матта и Оливье Панис) дисквалифицированы за нарушения в системе охлаждения передних тормозов.";;
81;19;20;6;2004;14;"7";"1.10.399";"Солнечно, тепло, сухо";"Хуан-Пабло Монтойя стартовал с пит-лейн.Хуан-Пабло Монтойя дисквалифицирован за смену автомобиля после начала формирующего круга.";;
82;8;4;7;2004;31;"32";"1.15.377";"Солнечно, жарко, сухо";"Джорджо Пантано наказан штрафом ""проезд через пит-лейн"" за превышение скорости на пит-лейн.";;
83;9;11;7;2004;31;"14";"1.18.739";"Солнечно, тепло, сухо";"Джанкарло Физикелла, Жолт Баумгартнер, Фернандо Алонсо и Джанмария Бруни перемещены на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой. Квалификационное время Оливье Паниса аннулировано за блокирование Фелипе Массы. Джанмария Бруни наказан штрафом ""проезд через пит-лейн"" за игнорирование синих флагов.";;
84;10;25;7;2004;3;"10";"1.13.780";"Солнечно, жарко, сухо";"Дженсон Баттон перемещен на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой. Запланировано 67 кругов, но дистанция сокращена на один круг из-за прерванного старта и дополнительного формирующего круга (Оливье Панис заглох на стартовом поле). Оливье Панис стартовал с пит-лейн.";;
85;11;15;8;2004;31;"29";"1.19.071";"Солнечно, жарко, сухо";"Фелипе Масса перемещен на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой.Джанмария Бруни стартовал с конца стартового поля.Жолт Баумгартнер стартовал с пит-лейн.";;
86;13;29;8;2004;3;"42";"1.45.108";"Переменная облачность, тепло, сухо";;;
87;14;12;9;2004;14;"41";"1.21.046";"Облачно, тепло, сухо";"Жолт Баумгартнер наказан штрафной секундой в квалификации за срез шиканы. Ник Хайдфельд, Джанмария Бруни и Жолт Баумгартнер перемещены на 10 позиций вниз на стартовом поле за смену двигателя перед гонкой. Ник Хайдфельд и Дэвид Култард стартовали с пит-лейн. Кристиан Клин наказан штрафом ""проезд через пит-лейн"" за превышение скорости на пит-лейн.";;
